Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,Total Cycle Count(8800MTB25266 Linear Waveform),Position (mm),Force (kN),Strain 1 (%),Unnamed: 9,Stress
1.205,1.205,1,1,1,0,26.9385754,12.16793169,0.449555245,,619.7076723
1.214,1.214,1,1,1,0,26.93874367,12.16695428,0.452994024,,619.657893
1.223,1.223,1,1,1,0,26.94019044,12.16652018,0.457675712,,619.6357845
1.232,1.232,1,1,1,0,26.93992583,12.16429384,0.462402222,,619.5223979
1.241,1.241,1,1,1,0,26.9405006,12.16487978,0.464160482,,619.5522395
1.25,1.25,1,1,1,0,26.94069047,12.16760327,0.465636449,,619.6909458
1.259,1.259,1,1,1,0,26.9410629,12.1683625,0.467133107,,619.7296131
1.268,1.268,1,1,1,0,26.94152062,12.17081818,0.468809665,,619.8546802
1.277,1.277,1,1,1,0,26.94203483,12.17389724,0.471463041,,620.0114954
1.286,1.286,1,1,1,0,26.94253027,12.1755822,0.47509541,,620.0973097
1.295,1.295,1,1,1,0,26.94275795,12.17677389,0.480363115,,620.1580019
1.304,1.304,1,1,1,0,26.94316558,12.17993268,0.483083353,,620.3188777
1.313,1.313,1,1,1,0,26.94383105,12.18442082,0.484909037,,620.5474569
1.322,1.322,1,1,1,0,26.94420557,12.18814502,0.486372782,,620.7371288
1.331,1.331,1,1,1,0,26.94461699,12.19161748,0.487797644,,620.9139796
1.34,1.34,1,1,1,0,26.94515759,12.19618163,0.489820023,,621.1464296
1.349,1.349,1,1,1,0,26.9457126,12.19836563,0.49331433,,621.2576601
1.358,1.358,1,1,1,0,26.94588234,12.20161909,0.498298462,,621.4233575
1.367,1.367,1,1,1,0,26.94654667,12.20627837,0.502204127,,621.6606523
1.376,1.376,1,1,1,0,26.94725665,12.21009807,0.504088974,,621.8551884
1.385,1.385,1,1,1,0,26.94746924,12.21384571,0.505863388,,622.0460539
1.394,1.394,1,1,1,0,26.94799643,12.2180523,0.507388186,,622.2602938
1.403,1.403,1,1,1,0,26.94849443,12.22186325,0.50945844,,622.4543839
1.412,1.412,1,1,1,0,26.94860128,12.22421483,0.511988291,,622.5741489
1.421,1.421,1,1,1,0,26.94979954,12.22570486,0.516766319,,622.6500356
1.43,1.43,1,1,1,0,26.94896583,12.22972955,0.521697943,,622.8550113
1.439,1.439,1,1,1,0,26.95009145,12.23085537,0.524824153,,622.9123488
1.448,1.448,1,1,1,0,26.95073157,12.23342253,0.526290384,,623.0430933
1.457,1.457,1,1,1,0,26.9511196,12.23387262,0.527720825,,623.0660163
1.466,1.466,1,1,1,0,26.95117494,12.23768496,0.529686001,,623.260177
1.475,1.475,1,1,1,0,26.95181809,12.23837515,0.53179993,,623.2953282
1.484,1.484,1,1,1,0,26.95208761,12.23881032,0.535497158,,623.3174912
1.493,1.493,1,1,1,0,26.95265277,12.23933855,0.54050475,,623.3443935
1.502,1.502,1,1,1,0,26.95311426,12.24003397,0.54445144,,623.379811
1.511,1.511,1,1,1,0,26.95327798,12.24100718,0.546511041,,623.4293765
1.52,1.52,1,1,1,0,26.95397939,12.24101575,0.54789141,,623.4298127
1.53,1.53,1,1,1,0,26.95407755,12.2433362,0.548794781,,623.5479925
1.539,1.539,1,1,1,0,26.95502517,12.24286027,0.551106768,,623.5237535
1.548,1.548,1,1,1,0,26.95510816,12.2445798,0.555847795,,623.6113285
1.557,1.557,1,1,1,0,26.9557774,12.24448802,0.560505164,,623.6066541
1.566,1.566,1,1,1,0,26.95535345,12.24503093,0.563530819,,623.6343042
1.575,1.575,1,1,1,0,26.95647894,12.2453596,0.564611749,,623.6510431
1.584,1.584,1,1,1,0,26.95667711,12.24784198,0.565961944,,623.7774699
1.593,1.593,1,1,1,0,26.95715325,12.24713936,0.56798766,,623.7416858
1.602,1.602,1,1,1,0,26.95708041,12.24855549,0.569809912,,623.8138086
1.611,1.611,1,1,1,0,26.95761212,12.24860817,0.573199454,,623.8164915
1.62,1.62,1,1,1,0,26.95833846,12.24897895,0.578006302,,623.8353755
1.629,1.629,1,1,1,0,26.95792785,12.24971702,0.581677893,,623.872965
1.638,1.638,1,1,1,0,26.95930575,12.25151245,0.583061105,,623.9644054
1.647,1.647,1,1,1,0,26.95901607,12.25388653,0.584760811,,624.0853162
1.656,1.656,1,1,1,0,26.95935736,12.25339532,0.586108456,,624.0602993
1.665,1.665,1,1,1,0,26.96024988,12.25393655,0.588075175,,624.0878636
1.674,1.674,1,1,1,0,26.96043694,12.25531587,0.590334334,,624.1581121
1.683,1.683,1,1,1,0,26.96110591,12.2551794,0.594584126,,624.1511614
1.692,1.692,1,1,1,0,26.96099716,12.25503941,0.59902035,,624.1440322
1.701,1.701,1,1,1,0,26.96165395,12.25610857,0.601589973,,624.1984838
1.71,1.71,1,1,1,0,26.9616745,12.25672988,0.602704533,,624.2301268
1.719,1.719,1,1,1,0,26.96228066,12.25679971,0.604214756,,624.2336832
1.728,1.728,1,1,1,0,26.9628138,12.25681121,0.605682664,,624.2342691
1.737,1.737,1,1,1,0,26.96283771,12.25700043,0.607404574,,624.2439057
1.746,1.746,1,1,1,0,26.96320903,12.25480868,0.61069383,,624.1322808
1.755,1.755,1,1,1,0,26.96391454,12.25609055,0.615451319,,624.1975663
1.764,1.764,1,1,1,0,26.96366397,12.25540477,0.618779499,,624.1626397
1.776,1.776,1,1,1,0,26.96433335,12.25729423,0.618182472,,624.258869
1.785,1.785,1,1,1,0,26.96483429,12.25608174,0.619975395,,624.1971173
1.794,1.794,1,1,1,0,26.96514621,12.25597501,0.624454541,,624.1916818
1.803,1.803,1,1,1,0,26.96563952,12.25645244,0.628373073,,624.2159969
1.812,1.812,1,1,1,0,26.9663034,12.25734759,0.630919819,,624.2615864
1.821,1.821,1,1,1,0,26.96619917,12.25742586,0.632033262,,624.2655729
1.83,1.83,1,1,1,0,26.96699379,12.25829468,0.632690358,,624.3098216
1.839,1.839,1,1,1,0,26.96664045,12.25812921,0.634514095,,624.3013941
1.848,1.848,1,1,1,0,26.96767895,12.25827274,0.635965058,,624.3087043
1.857,1.857,1,1,1,0,26.9676167,12.25854937,0.639453993,,624.3227926
1.866,1.866,1,1,1,0,26.96784209,12.25773558,0.643555055,,624.2813468
1.875,1.875,1,1,1,0,26.96811302,12.25921509,0.647003344,,624.3566975
1.884,1.884,1,1,1,0,26.96869574,12.25929922,0.648083894,,624.3609825
1.886,1.886,1,1,1,0,26.96824461,12.26091325,0.646580192,,624.4431844
1.895,1.895,1,1,1,0,26.96865416,12.25919711,0.648088513,,624.355782
1.904,1.904,1,1,1,0,26.96884459,12.25950986,0.650044558,,624.3717102
1.913,1.913,1,1,1,0,26.96937359,12.25889681,0.653810634,,624.3404878
1.922,1.922,1,1,1,0,26.97012655,12.25916821,0.657893363,,624.3543099
1.931,1.931,1,1,1,0,26.96972987,12.25971207,0.660222509,,624.3820086
1.94,1.94,1,1,1,0,26.97062332,12.26059448,0.661312677,,624.4269492
1.949,1.949,1,1,1,0,26.97049732,12.25920652,0.662451641,,624.356261
1.958,1.958,1,1,1,0,26.97077259,12.2589606,0.663374042,,624.3437364
1.967,1.967,1,1,1,0,26.97092569,12.25893788,0.664871415,,624.3425795
1.976,1.976,1,1,1,0,26.9710898,12.25836926,0.667430627,,624.3136199
1.985,1.985,1,1,1,0,26.97246133,12.25861622,0.672340961,,624.3261976
1.994,1.994,1,1,1,0,26.97187114,12.25829483,0.675328393,,624.3098293
2.003,2.003,1,1,1,0,26.9726875,12.25756477,0.676540392,,624.2726475
2.012,2.012,1,1,1,0,26.97223113,12.25698986,0.6770641,,624.2433674
2.021,2.021,1,1,1,0,26.97342549,12.25638758,0.678079918,,624.2126939
2.03,2.03,1,1,1,0,26.97284334,12.25536727,0.679548661,,624.1607296
2.039,2.039,1,1,1,0,26.97370067,12.25402734,0.681385236,,624.0924875
2.048,2.048,1,1,1,0,26.97352554,12.25386068,0.685355734,,624.0839999
2.057,2.057,1,1,1,0,26.97384407,12.25279384,0.688733625,,624.0296661
2.066,2.066,1,1,1,0,26.97396551,12.25228721,0.690841302,,624.0038637
2.075,2.075,1,1,1,0,26.97436845,12.25224968,0.691440181,,624.0019521
2.084,2.084,1,1,1,0,26.97496367,12.2518862,0.692240927,,623.9834401
2.093,2.093,1,1,1,0,26.97464125,12.25176509,0.693418257,,623.9772723
2.102,2.102,1,1,1,0,26.97549313,12.25061856,0.694656178,,623.91888
2.111,2.111,1,1,1,0,26.97558771,12.24897361,0.697352496,,623.8351035
2.12,2.12,1,1,1,0,26.97568383,12.24818826,0.701401526,,623.7951059
2.129,2.129,1,1,1,0,26.97623888,12.24688573,0.704022385,,623.7287685
2.138,2.138,1,1,1,0,26.97628882,12.24584491,0.705167573,,623.6757598
2.147,2.147,1,1,1,0,26.97618331,12.24505975,0.705547562,,623.6357721
2.156,2.156,1,1,1,0,26.97654628,12.2449597,0.706336627,,623.6306764
2.165,2.165,1,1,1,0,26.97697613,12.24288457,0.707319262,,623.5249911
2.174,2.174,1,1,1,0,26.9769203,12.24187167,0.709137132,,623.4734043
2.183,2.183,1,1,1,0,26.97724941,12.24020197,0.712590988,,623.3883672
2.192,2.192,1,1,1,0,26.97785022,12.24010398,0.715851495,,623.3833769
2.201,2.201,1,1,1,0,26.97803596,12.23829462,0.717550672,,623.291227
2.21,2.21,1,1,1,0,26.97847961,12.2393582,0.718200221,,623.3453947
2.219,2.219,1,1,1,0,26.97844136,12.2397626,0.718602617,,623.3659903
2.228,2.228,1,1,1,0,26.97880554,12.2392919,0.718912224,,623.3420178
2.237,2.237,1,1,1,0,26.9790541,12.23858243,0.720197338,,623.3058848
2.246,2.246,1,1,1,0,26.97914942,12.23871944,0.723198832,,623.3128625
2.255,2.255,1,1,1,0,26.97988727,12.23700561,0.727075156,,623.2255782
2.264,2.264,1,1,1,0,26.97959275,12.2361468,0.72926564,,623.1818393
