Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,Total Cycle Count(8800MTB25266 Linear Waveform),Position (mm),Force (kN),Strain 1 (%),Stress
0.09,0.09,1,1,1,0,28.59242037,-0.110366009,-0.003091618,-5.620894787
0.091,0.091,1,1,1,0,28.5924702,-0.111182965,-0.003257934,-5.662502023
0.092,0.092,1,1,1,0,28.59268216,-0.111026969,-0.002582651,-5.654557185
0.093,0.093,1,1,1,0,28.59294796,-0.109955389,-0.00128638,-5.599982075
0.094,0.094,1,1,1,0,28.59289879,-0.108955987,-0.000626519,-5.549082936
0.095,0.095,1,1,1,0,28.59242233,-0.10869503,-0.000898652,-5.535792526
0.096,0.096,1,1,1,0,28.59225282,-0.109105464,-0.001550391,-5.556695751
0.097,0.097,1,1,1,0,28.59258018,-0.109503604,-0.00231348,-5.576972875
0.098,0.098,1,1,1,0,28.59296277,-0.109416153,-0.0030219,-5.572519023
0.099,0.099,1,1,1,0,28.59303318,-0.109202694,-0.003549084,-5.561647638
0.1,0.1,1,1,1,0,28.59277232,-0.108793471,-0.003075358,-5.540806074
0.101,0.101,1,1,1,0,28.59282605,-0.108331535,-0.00161998,-5.517279867
0.102,0.102,1,1,1,0,28.59314866,-0.108631235,-0.00070367,-5.532543443
0.103,0.103,1,1,1,0,28.59334452,-0.108482502,-0.000855885,-5.524968573
0.104,0.104,1,1,1,0,28.59288389,-0.108054746,-0.001580138,-5.503183115
0.105,0.105,1,1,1,0,28.59245315,-0.108219869,-0.002384149,-5.511592786
0.106,0.106,1,1,1,0,28.59231234,-0.108523201,-0.003127027,-5.527041346
0.107,0.107,1,1,1,0,28.59237706,-0.108201057,-0.003570691,-5.510634662
0.108,0.108,1,1,1,0,28.59264566,-0.107685011,-0.002978612,-5.484352663
0.109,0.109,1,1,1,0,28.59263476,-0.107362121,-0.001498349,-5.467908033
0.11,0.11,1,1,1,0,28.59265339,-0.106960069,-0.000522714,-5.447431695
0.111,0.111,1,1,1,0,28.5926979,-0.107156113,-0.000645705,-5.457416104
0.112,0.112,1,1,1,0,28.59289441,-0.107723195,-0.001314636,-5.486297369
0.113,0.113,1,1,1,0,28.59296007,-0.108203292,-0.00189336,-5.510748498
0.114,0.114,1,1,1,0,28.59257236,-0.108077377,-0.002415068,-5.50433571
0.115,0.115,1,1,1,0,28.59249404,-0.107613392,-0.003193542,-5.480705152
0.116,0.116,1,1,1,0,28.59287327,-0.107603427,-0.003416147,-5.480197631
0.117,0.117,1,1,1,0,28.59308794,-0.107651018,-0.002179183,-5.482621399
0.118,0.118,1,1,1,0,28.59277623,-0.107593182,-0.000867136,-5.47967588
0.119,0.119,1,1,1,0,28.59244626,-0.107467081,-0.000767801,-5.473253605
0.12,0.12,1,1,1,0,28.59270088,-0.10669902,-0.001493599,-5.434136542
0.121,0.121,1,1,1,0,28.59316655,-0.10599494,-0.00221381,-5.398278048
0.122,0.122,1,1,1,0,28.59329088,-0.106095802,-0.002614036,-5.40341492
0.123,0.123,1,1,1,0,28.59296864,-0.106669683,-0.002961773,-5.432642438
0.124,0.124,1,1,1,0,28.59279448,-0.106860232,-0.003179889,-5.442346999
0.125,0.125,1,1,1,0,28.59264491,-0.106041878,-0.002350174,-5.400668614
0.126,0.126,1,1,1,0,28.59235946,-0.105453003,-0.001286454,-5.370677443
0.127,0.127,1,1,1,0,28.59226856,-0.105183572,-0.000860952,-5.356955403
0.128,0.128,1,1,1,0,28.59241059,-0.10457132,-0.001105741,-5.325773692
0.129,0.129,1,1,1,0,28.59251862,-0.103781279,-0.001830216,-5.285537236
0.13,0.13,1,1,1,0,28.59238954,-0.103140809,-0.002711806,-5.252918339
0.131,0.131,1,1,1,0,28.59253017,-0.102498662,-0.003333483,-5.220214065
0.132,0.132,1,1,1,0,28.59267779,-0.101364311,-0.003360268,-5.162442047
0.133,0.133,1,1,1,0,28.59268887,-0.100237131,-0.002150629,-5.105035255
0.134,0.134,1,1,1,0,28.59248109,-0.09911675,-0.000806432,-5.047974715
0.135,0.135,1,1,1,0,28.59227546,-0.098024867,-0.000355225,-4.992365591
0.136,0.136,1,1,1,0,28.59268598,-0.097106677,-0.000733547,-4.94560251
0.137,0.137,1,1,1,0,28.59307323,-0.095040165,-0.001352038,-4.840355934
0.138,0.138,1,1,1,0,28.59311616,-0.092367642,-0.001994278,-4.704245439
0.139,0.139,1,1,1,0,28.59294005,-0.090487301,-0.00275597,-4.608480494
0.14,0.14,1,1,1,0,28.59295411,-0.088805519,-0.003283545,-4.522828023
0.141,0.141,1,1,1,0,28.59307872,-0.086616911,-0.002245735,-4.411363128
0.142,0.142,1,1,1,0,28.5933285,-0.084263645,-0.000297427,-4.291512279
0.143,0.143,1,1,1,0,28.59355863,-0.081575848,0.000528265,-4.154623902
0.144,0.144,1,1,1,0,28.5935849,-0.078558177,-0.000223778,-4.000935157
0.145,0.145,1,1,1,0,28.59367784,-0.075032748,-0.001471415,-3.821386556
0.146,0.146,1,1,1,0,28.59362233,-0.071934145,-0.002076831,-3.663575981
0.147,0.147,1,1,1,0,28.59336566,-0.06892411,-0.002091639,-3.510276177
0.148,0.148,1,1,1,0,28.59342592,-0.065273792,-0.002045725,-3.324366962
0.149,0.149,1,1,1,0,28.59348664,-0.061909761,-0.00137018,-3.153038304
0.15,0.15,1,1,1,0,28.59324217,-0.059093442,-4.60E-05,-3.009604329
0.151,0.151,1,1,1,0,28.59300328,-0.055736862,0.000791773,-2.838655127
0.152,0.152,1,1,1,0,28.59321199,-0.051894505,0.000744257,-2.64296546
0.153,0.153,1,1,1,0,28.59375132,-0.047541596,0.000100266,-2.421273643
0.154,0.154,1,1,1,0,28.59424241,-0.042867661,-0.00059953,-2.18323206
0.155,0.155,1,1,1,0,28.59425815,-0.038138684,-0.001091547,-1.942387253
0.156,0.156,1,1,1,0,28.59391551,-0.033489056,-0.001414567,-1.705583642
0.157,0.157,1,1,1,0,28.59386336,-0.028740615,-0.000771005,-1.46374751
0.158,0.158,1,1,1,0,28.59387612,-0.023900252,0.000716727,-1.217229851
0.159,0.159,1,1,1,0,28.59408045,-0.019352138,0.001583137,-0.985596314
0.16,0.16,1,1,1,0,28.59412115,-0.014396384,0.001402199,-0.733201847
0.161,0.161,1,1,1,0,28.59418327,-0.008583814,0.000847336,-0.43717006
0.162,0.162,1,1,1,0,28.59420525,-0.00236081,0.000409484,-0.120235047
0.163,0.163,1,1,1,0,28.59416353,0.003299303,1.06E-06,0.168032143
0.164,0.164,1,1,1,0,28.59418886,0.008505862,-0.000353735,0.433200012
0.165,0.165,1,1,1,0,28.59443063,0.014084298,0.000261124,0.717307428
0.166,0.166,1,1,1,0,28.59476069,0.020098127,0.001843404,1.023589242
0.167,0.167,1,1,1,0,28.59464251,0.02589589,0.002867747,1.318866863
0.168,0.168,1,1,1,0,28.59455086,0.0315479,0.00284778,1.606721395
0.169,0.169,1,1,1,0,28.59480903,0.037786271,0.002284758,1.924439034
0.17,0.17,1,1,1,0,28.59502463,0.044592284,0.00167951,2.271066397
0.171,0.171,1,1,1,0,28.59523119,0.051321089,0.001249369,2.613761658
0.172,0.172,1,1,1,0,28.59572563,0.057997089,0.000926815,2.953767532
0.173,0.173,1,1,1,0,28.59589653,0.064413529,0.00107469,3.280554144
0.174,0.174,1,1,1,0,28.59588955,0.071126595,0.002321843,3.622447806
0.175,0.175,1,1,1,0,28.59585769,0.078572799,0.00373764,4.001679837
0.176,0.176,1,1,1,0,28.59583665,0.086730067,0.004230067,4.4171261
0.177,0.177,1,1,1,0,28.59607134,0.094929617,0.003794059,4.834725771
0.178,0.178,1,1,1,0,28.59629774,0.102207623,0.003262218,5.205391605
0.179,0.179,1,1,1,0,28.59654026,0.108839665,0.003001262,5.543158695
0.18,0.18,1,1,1,0,28.59664476,0.116078556,0.002765562,5.911832391
0.181,0.181,1,1,1,0,28.59649397,0.124023296,0.002821572,6.316454702
0.182,0.182,1,1,1,0,28.5963539,0.132429134,0.003907736,6.744560532
0.183,0.183,1,1,1,0,28.59667959,0.141259376,0.005142726,7.194281064
0.184,0.184,1,1,1,0,28.59714264,0.150217582,0.00555411,7.650518736
0.185,0.185,1,1,1,0,28.5972774,0.158934668,0.005255248,8.094476296
0.186,0.186,1,1,1,0,28.59729733,0.16814461,0.004976932,8.563534802
0.187,0.187,1,1,1,0,28.59761035,0.177931041,0.004770979,9.061953636
0.188,0.188,1,1,1,0,28.59795829,0.187535118,0.004432406,9.551085309
0.189,0.189,1,1,1,0,28.59794693,0.196959637,0.004202463,10.03107212
0.19,0.19,1,1,1,0,28.59774949,0.206472632,0.005246308,10.51556495
0.191,0.191,1,1,1,0,28.59784029,0.215654634,0.006956458,10.9832005
0.192,0.192,1,1,1,0,28.5980924,0.224950537,0.00784371,11.45663697
0.193,0.193,1,1,1,0,28.59813171,0.23548454,0.007617958,11.99312937
0.194,0.194,1,1,1,0,28.59822316,0.247173663,0.006987453,12.58845151
0.195,0.195,1,1,1,0,28.59879499,0.258669257,0.006479397,13.17391731
0.196,0.196,1,1,1,0,28.59949199,0.269569457,0.006206539,13.72905992
0.197,0.197,1,1,1,0,28.59982746,0.27998928,0.006380714,14.25973717
0.198,0.198,1,1,1,0,28.59953437,0.290868618,0.007710718,14.8138173
0.199,0.199,1,1,1,0,28.59935751,0.302103162,0.009452328,15.38598795
0.2,0.2,1,1,1,0,28.5996912,0.313768815,0.010305364,15.98011481
0.201,0.201,1,1,1,0,28.60023146,0.326244067,0.01007732,16.6154742
0.202,0.202,1,1,1,0,28.60022373,0.338715035,0.0093727,17.2506154
0.203,0.203,1,1,1,0,28.5999353,0.35086209,0.008847024,17.86925979
0.204,0.204,1,1,1,0,28.60007286,0.362821203,0.008676238,18.47833243
0.205,0.205,1,1,1,0,28.60066602,0.374769513,0.008671004,19.08685487
